No,B1,B2,B3,B4,B5,LS1,LS2,Jackpot,Wins
1210,14,33,35,47,50,9,11,14682900,0
1211,5,12,20,26,48,2,11,21815835,1
1212,2,9,20,27,43,5,6,14467000,0
1213,7,20,26,32,47,2,11,21438454,1
1214,1,4,27,45,48,1,7,14694800,0
1215,10,14,17,25,50,2,10,21687521,0
1216,16,28,42,43,45,6,7,31674666,0
1217,32,33,34,39,47,8,12,39211724,0
1218,5,16,23,30,49,6,7,49736732,0
1219,7,19,20,28,29,1,5,28837305,2
1220,1,23,24,26,35,1,11,15034800,0
1221,9,31,32,39,41,2,8,22504557,0
1222,1,4,16,20,34,2,5,115726000,0
1223,25,27,39,42,46,11,12,123458008,1
1224,1,13,30,31,39,2,7,15152100,0
1225,12,24,37,40,44,3,7,22579505,0
1226,5,8,9,25,39,3,7,32775384,0
1227,6,26,27,34,46,1,9,40597881,0
1228,1,3,16,33,49,2,11,51583856,0
1229,11,19,29,44,45,8,12,60173279,0
1230,2,9,20,34,42,6,9,67458174,0
1231,7,29,32,36,41,6,7,73547916,0
1232,2,31,39,45,47,4,8,81180289,0
1233,3,5,13,18,39,7,8,88185562,0
1234,13,14,17,26,28,2,7,96710509,1
1235,1,14,19,23,38,3,7,15254100,0
1236,2,5,27,37,42,3,10,25032609,0
1237,15,20,23,27,40,3,6,33364792,0
1238,13,22,33,44,50,2,5,43958121,0
1239,12,13,29,36,38,4,12,52917787,0
1240,2,14,35,41,42,10,11,65218898,0
1241,13,29,31,33,40,2,3,70899768,0
1242,9,10,27,37,42,1,5,77208525,0
1243,20,22,23,24,37,1,4,83338679,0
1244,4,17,35,42,45,2,8,91533020,0
1245,8,26,35,43,47,1,9,97958413,0
1246,25,27,45,46,49,4,6,107759330,0
1247,7,11,38,39,44,7,10,116404085,0
1248,10,13,22,40,48,2,5,125665319,0
1249,3,22,25,30,49,3,6,134122038,0
1250,1,12,27,42,47,6,7,145566007,0
1251,22,37,43,44,45,1,12,155282163,0
1252,8,21,25,38,50,4,8,167609701,0
1253,2,33,42,47,48,1,2,167751000,0
1254,24,37,41,43,46,2,8,169005000,0
1255,2,11,18,40,46,1,4,168720000,0
1256,6,9,35,41,44,6,9,169024000,0
1257,7,10,15,44,49,3,12,170221000,1
1258,2,14,19,42,45,5,6,14830800,0
1259,3,28,31,32,34,4,5,22772993,0
1260,8,18,22,41,42,11,12,33536983,0
1261,2,5,32,33,47,7,8,41922445,0
1262,34,37,39,40,50,4,10,53313310,0
1263,16,18,28,42,49,5,10,62293451,0
1264,2,20,39,44,48,5,7,69286018,0
1265,9,14,25,33,48,2,12,74873475,0
1266,8,17,20,23,45,2,8,84012704,0
1267,1,21,23,25,39,2,4,89866288,0
1268,3,13,20,32,34,4,11,98311223,0
1269,8,10,15,30,42,4,6,105100702,1
1270,3,21,32,34,48,3,11,14608100,0
1271,2,3,15,19,34,5,8,22196254,0
1272,3,7,12,42,50,6,8,32747133,0
1273,18,31,32,38,48,4,12,40957697,1
1274,1,3,27,39,46,1,10,14319100,0
1275,2,10,19,21,47,2,8,21715889,0
1276,9,16,18,23,32,2,10,32875644,0
1277,1,7,12,25,49,6,9,41621418,1
1278,8,24,30,32,34,3,4,14484000,0
1279,3,11,13,14,47,3,6,23534756,0
1280,1,7,22,26,35,5,10,33089326,0
1281,26,31,33,41,48,2,4,44717396,0
1282,5,15,20,36,47,8,12,55523057,0
1283,5,8,12,37,43,6,11,64021946,0
1284,6,17,32,44,46,2,6,71717560,0
1285,21,25,29,39,44,8,9,78000490,0
1286,8,19,20,29,44,3,8,85964733,1
1287,10,11,24,36,46,3,5,14463600,0
1288,3,4,6,9,24,5,8,24139851,1
1289,1,19,27,31,38,4,5,14409200,0
1290,13,18,20,23,30,2,4,24336652,0
1291,21,23,33,35,47,6,7,34634832,0
1292,9,15,17,25,40,3,9,110500000,1
1293,24,26,32,43,46,6,10,14342900,1
1294,5,20,35,41,49,6,10,14140600,0
1295,11,32,34,38,47,2,10,22469712,0
1296,7,23,30,32,45,5,9,34421724,0
1297,1,4,18,27,42,4,6,43515336,0
1298,8,11,20,22,23,3,4,57826962,1
1299,4,14,27,44,45,1,10,14841000,0
1300,15,38,43,45,46,1,11,26423336,0
1301,11,23,30,37,43,5,12,35567254,0
1302,3,11,21,27,36,9,10,50321191,0
1303,5,7,8,16,20,2,12,57869670,1
1304,3,9,20,34,40,6,12,15696100,1
1305,7,12,26,30,33,10,11,15621300,0
1306,11,14,27,41,46,2,3,22095531,0
1307,12,17,24,30,36,1,9,27308650,0
1308,16,19,34,46,50,2,6,34546128,0
1309,4,5,14,33,48,7,12,40506751,0
1310,3,10,17,33,39,1,4,46937085,0
1311,6,29,34,35,40,4,11,51538058,0
1312,16,28,32,37,45,1,11,58366488,1
1313,10,11,14,23,28,6,8,15026300,0
1314,1,5,19,21,28,4,7,22310697,0
1315,15,23,26,28,32,1,5,28167968,0
1316,19,20,38,45,47,2,6,36228690,0
1317,2,10,22,27,41,2,3,42596857,0
1318,8,25,32,33,38,7,9,49837132,0
1319,9,16,29,37,39,4,11,56472701,0
1320,11,23,32,34,39,1,6,65175962,1
1321,5,25,32,37,43,6,7,15170800,0
1322,3,18,22,27,32,2,7,25387006,0
1323,4,9,14,21,27,4,6,16530706,2
1324,4,8,11,19,46,4,8,15294900,1
1325,10,12,22,26,49,7,11,15148700,0
1326,5,11,17,24,37,3,6,25999539,0
1327,5,15,27,36,46,2,8,34451775,0
1328,2,24,39,45,46,4,8,46399553,1
1329,4,9,11,17,39,2,10,15245600,0
1330,5,14,19,24,43,3,11,26333468,0
1331,2,12,19,46,49,1,8,34732623,0
1332,1,10,12,21,26,5,11,46859882,0
1333,1,6,11,28,42,2,10,56510237,0
1334,4,16,27,37,39,3,6,117260000,0
1335,12,16,23,33,41,8,10,130059174,1
1336,15,17,23,30,38,2,7,15225200,0
1337,11,22,30,37,47,9,10,24013488,0
1338,7,15,27,41,43,7,9,35838894,0
1339,14,15,24,29,42,2,4,44865863,1
1340,8,9,27,28,50,4,12,15483600,0
1341,9,13,15,17,34,2,7,23795774,0
1342,21,24,30,46,49,2,5,35077775,0
1343,1,2,5,15,42,5,8,44373299,0
1344,5,20,21,36,41,6,11,57863944,0
1345,8,13,14,42,50,3,9,66130274,0
1346,9,10,19,42,49,4,12,77977112,0
1347,6,12,17,34,42,5,12,87266444,0
1348,10,15,35,44,50,3,5,100807281,0
1349,7,18,30,37,39,8,10,112618069,0
1350,7,12,16,17,31,7,9,126895018,0
1351,4,8,10,33,46,8,11,139992069,1
1352,6,22,29,40,43,4,7,15174200,0
1353,2,9,31,35,41,9,12,24534097,0
1354,34,38,42,43,45,9,12,37525275,0
1355,16,20,25,30,38,6,8,47250235,0
1356,2,10,19,25,45,1,7,61732489,0
1357,16,25,28,39,40,1,6,71063522,0
1358,19,23,34,37,45,1,7,118729000,1
1359,4,14,16,41,44,11,12,15531200,0
1360,6,12,15,40,45,3,9,27761091,1
1361,4,21,36,41,47,9,11,15485300,0
1362,11,15,35,41,50,5,8,27489353,0
1363,5,14,38,41,46,1,10,36618665,0
1364,15,33,38,40,50,3,6,49383832,0
1365,5,6,15,37,42,3,4,59778232,0
1366,10,15,19,21,23,3,12,70979568,0
1367,13,15,28,32,44,3,12,79315198,1
1368,12,16,20,21,28,3,9,15301700,0
1369,5,7,18,20,30,6,7,23844506,0
1370,7,12,37,40,50,1,2,36006084,0
1371,3,19,29,32,38,5,12,45088804,0
1372,1,5,17,28,31,1,10,60684475,0
1373,16,19,25,30,44,2,6,69354137,0
1374,28,29,39,48,50,5,7,116103000,0
1375,25,33,38,42,50,8,12,128449942,0
1376,2,5,8,14,16,8,9,146729731,0
1377,14,20,29,47,49,4,12,160906372,0
1378,14,20,27,34,38,1,11,180800000,0
1379,1,4,21,24,46,2,12,181500000,0
1380,6,9,13,24,41,3,12,183120000,1
1381,9,13,21,29,35,1,2,15398600,0
1382,2,3,13,17,21,7,8,28785119,0
1383,2,10,16,42,50,4,11,39844969,1
1384,16,21,27,30,32,3,5,15595800,0
1385,7,32,39,40,45,3,8,25557847,0
1386,16,28,32,44,48,1,9,39774466,1
1387,12,34,37,38,42,1,3,15352700,0
1388,18,23,37,41,42,4,6,27784790,0
1389,2,10,18,34,35,6,9,37176013,0
1390,4,10,27,38,40,3,11,50129756,0
1391,25,27,31,35,43,5,6,60310182,0
1392,8,16,42,44,47,6,7,71712110,1
1393,5,7,25,37,40,2,8,15067100,0
1394,1,5,27,36,42,1,6,27189645,0
1395,18,20,35,38,48,9,12,36764670,0
1396,12,19,37,44,45,2,6,114088000,0
1397,5,10,24,31,37,9,10,127347464,0
1398,7,23,30,32,36,8,12,144125471,0
1399,5,9,25,29,30,6,7,157644778,0
1400,4,12,25,46,48,7,12,178761140,0
1401,9,18,30,39,45,1,3,180663000,0
1402,6,12,22,29,33,6,11,182028000,1
1403,2,19,24,26,49,6,7,14728800,0
1404,4,5,39,46,48,7,10,27914329,0
